Year AD,Year BS,Age Group,No. of Tourists
2014,2071,0-15 years,50441
2014,2071,16-30 Years,185685
2014,2071,31-45 Years,235738
2014,2071,46-60 Years,183582
2014,2071,61 and Over,106666
2014,2071,Not Specified,28007
2015,2072,0-15 years,19614
2015,2072,16-30 Years,123444
2015,2072,31-45 Years,157416
2015,2072,46-60 Years,129614
2015,2072,61 and Over,74518
2015,2072,Not Specified,34365
2016,2073,0-15 years,29825
2016,2073,16-30 Years,154960
2016,2073,31-45 Years,218479
2016,2073,46-60 Years,199139
2016,2073,61 and Over,130627
2016,2073,Not Specified,19972
2017,2074,0-15 years,35332
2017,2074,16-30 Years,217143
2017,2074,31-45 Years,292827
2017,2074,46-60 Years,244342
2017,2074,61 and Over,141316
2017,2074,Not Specified,9258
