Year AD,Year BS,Month,Number of Tourist
2013,2070,Jan.,47846
2013,2070,Feb.,67264
2013,2070,Mar.,"88,697"
2013,2070,Apr.,"65,152"
2013,2070,May,52834
2013,2070,Jun.,54599
2013,2070,Jul.,54011
2013,2070,Aug.,68478
2013,2070,Sep.,66755
2013,2070,Oct.,99426
2013,2070,Nov.,75485
2013,2070,Dec.,57069
2014,2071,Jan.,70196
2014,2071,Feb.,69009
2014,2071,Mar.,79914
2014,2071,Apr.,80053
2014,2071,May,62558
2014,2071,Jun.,50731
2014,2071,Jul.,46546
2014,2071,Aug.,59761
2014,2071,Sep.,52894
2014,2071,Oct.,80993
2014,2071,Nov.,76305
2014,2071,Dec.,61158
2015,2072,Jan.,38616
2015,2072,Feb.,58523
2015,2072,Mar.,79187
2015,2072,Apr.,65729
2015,2072,May,17569
2015,2072,Jun.,18368
2015,2072,Jul.,22967
2015,2072,Aug.,38606
2015,2072,Sep.,39050
2015,2072,Oct.,56584
2015,2072,Nov.,58304
2015,2072,Dec.,45467
2016,2073,Jan.,42235
2016,2073,Feb.,60821
2016,2073,Mar.,76444
2016,2073,Apr.,60214
2016,2073,May,46683
2016,2073,Jun.,38852
2016,2073,Jul.,48115
2016,2073,Aug.,66341
2016,2073,Sep.,74670
2016,2073,Oct.,89281
2016,2073,Nov.,72990
2016,2073,Dec.,76356
2017,2074,Jan.,62632
2017,2074,Feb.,84061
2017,2074,Mar.,106291
2017,2074,Apr.,88591
2017,2074,May,62773
2017,2074,Jun.,55956
2017,2074,Jul.,42240
2017,2074,Aug.,73778
2017,2074,Sep.,68634
2017,2074,Oct.,112492
2017,2074,Nov.,99804
2017,2074,Dec.,82966
