Year AD,Year BS,Purpose of Visit,No. of Tourists
1993,2050,Holiday Pleasure,"170,279"
1993,2050,Trekking & Mountaineering,"69,619"
1993,2050,Business,"19,495"
1993,2050,Pilgrimage,10429
1993,2050,Official,"15,812"
1993,2050,Conv./ Conf. ,"5,367"
1993,2050,Others,"2,566"
1993,2050,Not Specified ,N/A
1994,2051,Holiday Pleasure,"168,155"
1994,2051,Trekking & Mountaineering,"76,865"
1994,2051,Business,"23,522"
1994,2051,Pilgrimage,"5,475"
1994,2051,Official,"20,431"
1994,2051,Conv./ Conf. ,"5,361"
1994,2051,Others,"26,722"
1994,2051,Not Specified ,N/A
1995,2052,Holiday Pleasure,"183,207"
1995,2052,Trekking & Mountaineering,"84,787"
1995,2052,Business,"21,829"
1995,2052,Pilgrimage,"5,257"
1995,2052,Official,"20,090"
1995,2052,Conv./ Conf. ,"5,272"
1995,2052,Others,"42,953"
1995,2052,Not Specified ,N/A
1996,2053,Holiday Pleasure,"209,377"
1996,2053,Trekking & Mountaineering,"88,945"
1996,2053,Business,"25,079"
1996,2053,Pilgrimage,"4,802"
1996,2053,Official,"20,191"
1996,2053,Conv./ Conf. ,"6,054"
1996,2053,Others,"39,165"
1996,2053,Not Specified ,N/A
1997,2054,Holiday Pleasure,"249,360"
1997,2054,Trekking & Mountaineering,"91,525"
1997,2054,Business,"27,409"
1997,2054,Pilgrimage,"4,068"
1997,2054,Official,"4,068"
1997,2054,Conv./ Conf. ,"5,824"
1997,2054,Others,"19,565"
1997,2054,Not Specified ,N/A
1998,2055,Holiday Pleasure,"261,347"
1998,2055,Trekking & Mountaineering,"112,644"
1998,2055,Business,"24,954"
1998,2055,Pilgrimage,"16,164"
1998,2055,Official,"22,123"
1998,2055,Conv./ Conf. ,"5,181"
1998,2055,Others,"21,271"
1998,2055,Not Specified ,N/A
1999,2056,Holiday Pleasure,"290,862"
1999,2056,Trekking & Mountaineering,"107,960"
1999,2056,Business,"23,813"
1999,2056,Pilgrimage,"19,198"
1999,2056,Official,"24,132"
1999,2056,Conv./ Conf. ,"5,965"
1999,2056,Others,"19,574"
1999,2056,Not Specified ,N/A
2000,2057,Holiday Pleasure,"255,889"
2000,2057,Trekking & Mountaineering,"118,780"
2000,2057,Business,"29,454"
2000,2057,Pilgrimage,"15,801"
2000,2057,Official,"20,832"
2000,2057,Conv./ Conf. ,"5,599"
2000,2057,Others,"17,291"
2000,2057,Not Specified ,N/A
2001,2058,Holiday Pleasure,"187,022"
2001,2058,Trekking & Mountaineering,"100,828"
2001,2058,Business,"18,528"
2001,2058,Pilgrimage,"13,816"
2001,2058,Official,"18,727"
2001,2058,Conv./ Conf. ,0
2001,2058,Others,"22,316"
2001,2058,Not Specified ,N/A
2002,2059,Holiday Pleasure,"110,143"
2002,2059,Trekking & Mountaineering,"59,279"
2002,2059,Business,"16,990"
2002,2059,Pilgrimage,"12,366"
2002,2059,Official,"17,783"
2002,2059,Conv./ Conf. ,0
2002,2059,Others,"58,907"
2002,2059,Not Specified ,N/A
2003,2060,Holiday Pleasure,"97,904"
2003,2060,Trekking & Mountaineering,"65,721"
2003,2060,Business,"19,387"
2003,2060,Pilgrimage,"21,395"
2003,2060,Official,"21,967"
2003,2060,Conv./ Conf. ,0
2003,2060,Others,"111,758"
2003,2060,Not Specified ,N/A
2004,2061,Holiday Pleasure,"167,262"
2004,2061,Trekking & Mountaineering,"69,442"
2004,2061,Business,"13,948"
2004,2061,Pilgrimage,"45,664"
2004,2061,Official,"17,088"
2004,2061,Conv./ Conf. ,0
2004,2061,Others,"71,893"
2004,2061,Not Specified ,N/A
2005,2062,Holiday Pleasure,"160,259"
2005,2062,Trekking & Mountaineering,"61,488"
2005,2062,Business,"21,992"
2005,2062,Pilgrimage,"47,621"
2005,2062,Official,"16,859"
2005,2062,Conv./ Conf. ,0
2005,2062,Others,"67,179"
2005,2062,Not Specified ,N/A
2006,2063,Holiday Pleasure,"145,802"
2006,2063,Trekking & Mountaineering,"66,931"
2006,2063,Business,"21,066"
2006,2063,Pilgrimage,"59,298"
2006,2063,Official,"18,063"
2006,2063,Conv./ Conf. ,0
2006,2063,Others,"72,766"
2006,2063,Not Specified ,N/A
2007,2064,Holiday Pleasure,"217,815"
2007,2064,Trekking & Mountaineering,"101,320"
2007,2064,Business,"24,487"
2007,2064,Pilgrimage,"52,594"
2007,2064,Official,"21,670"
2007,2064,Conv./ Conf. ,"8,019"
2007,2064,Others,"78,644"
2007,2064,Not Specified ,"22,156"
2008,2065,Holiday Pleasure,"148,180"
2008,2065,Trekking & Mountaineering,"104,822"
2008,2065,Business,"23,039"
