Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Total
1992,12560,20331,24792,20295,11380,7264,12708,20198,18442,33834,25862,20113,227779
1993,14147,18164,25200,14594,9355,8536,9076,16671,18293,34415,23715,18039,210205
1994,14795,19794,24856,19778,12244,8561,13352,20524,21289,30063,20556,18179,223991
1995,15758,19482,25381,23419,12491,9270,14141,20211,22344,38398,28177,17063,246135
1996,17678,23629,31738,25458,14042,9777,13724,21833,23201,38139,29221,22661,271101
1997,16856,24151,33389,24343,14836,9973,16024,24772,24344,46110,30712,22909,288419
1998,20124,27855,33097,28997,15647,11195,15724,26387,29241,49787,38587,23814,320455
1999,20554,29259,38158,29637,22305,12731,16782,29402,33650,54099,38835,25431,350843
2000,21092,33939,38959,36430,18658,12036,16842,27205,34643,51100,45318,31509,367731
2001,25158,32763,40684,32211,17406,8929,13965,21658,26132,37198,25795,15018,296917
2002,13180,16960,25102,16877,11751,8338,9962,15515,18768,30251,24044,17943,208691
2003,15659,19321,22260,20303,15288,7835,13607,19149,22577,38040,31750,25980,251769
2004,22947,28743,35468,26279,15581,9776,17070,27657,21829,38104,29330,22187,294971
2005,19531,17061,25847,18311,15438,11170,14921,26119,27413,40553,34778,27822,278964
2006,21126,21320,30169,18435,13517,11841,15066,24966,26327,43026,37402,27009,290204
2007,25857,33133,48022,32794,23296,18937,26160,37658,38813,65745,46822,33458,430695
2008,30473,40334,51364,31952,19619,12922,18097,32084,33870,60938,47467,29980,409100
2009,23969,34594,45950,34938,20362,17078,19942,36121,36241,65592,48667,32618,416072
2010,28076,43289,56632,37208,21053,17967,24273,43172,44650,69982,57304,38363,481969
2011,34541,48045,58455,49089,29692,25081,28875,55204,50560,86988,72436,47745,586711
2012,42055,55301,72882,53745,30140,30084,34837,57590,4654,79536,74603,51850,637277
2013,40296,58195,73434,53079,33295,28507,37666,57642,51912,77163,59630,45822,616642
